18:21:17.267 257 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
18:21:17.267 257 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
18:21:17.267 257 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
18:21:17.267 257 zb_mac_transport_linux_pipes.c:507	timer started = 1
18:21:17.267 257 zb_mac_transport_linux_pipes.c:524	default timeout 1
18:21:17.267 257 zb_mac_transport_linux_pipes.c:529	select() timeout 1.0
18:21:18.268 257 zb_mac_transport_linux_pipes.c:548	delta 1002 (65)
18:21:18.268 322 zb_mac_transport_linux_pipes.c:569	timer 322, delta_rest 0
18:21:18.268 322 zb_mac_transport_linux_pipes.c:590	timeout
18:21:18.268 322 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
18:21:18.268 322 zb_scheduler.c:145	0x564fd561c6e8 calling alarm cb 0x564fd53f4c5f param 0
18:21:18.268 322 nwk_cr_mesh_routing.c:736	>> exp_r_disc
18:21:18.268 322 zb_scheduler.c:283	tm_freelist, get nent 0x564fd561c708
18:21:18.268 322 zb_scheduler.c:294	0x564fd561c708 scheduled alarm 0x564fd53f4c5f, run_after 130, at 452, param 0
18:21:18.268 322 zb_scheduler.c:349	cur t 322, head t 325
18:21:18.268 322 nwk_cr_mesh_routing.c:784	<< exp_r_disc
18:21:18.268 322 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
18:21:18.268 322 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
18:21:18.269 322 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
18:21:18.269 322 zb_mac_transport_linux_pipes.c:507	timer started = 1
18:21:18.269 322 zb_mac_transport_linux_pipes.c:513	timer stop 325 timer 322  tmo 3
18:21:18.269 322 zb_mac_transport_linux_pipes.c:529	select() timeout 0.45000
18:21:18.314 322 zb_mac_transport_linux_pipes.c:548	delta 45 (2)
18:21:18.314 324 zb_mac_transport_linux_pipes.c:569	timer 324, delta_rest 0
18:21:18.314 324 zb_mac_transport_linux_pipes.c:590	timeout
18:21:18.314 324 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
18:21:18.314 324 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
18:21:18.314 324 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
18:21:18.314 324 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
18:21:18.314 324 zb_mac_transport_linux_pipes.c:507	timer started = 1
18:21:18.314 324 zb_mac_transport_linux_pipes.c:513	timer stop 325 timer 324  tmo 1
18:21:18.315 324 zb_mac_transport_linux_pipes.c:529	select() timeout 0.15000
18:21:18.330 324 zb_mac_transport_linux_pipes.c:548	delta 15 (1)
18:21:18.330 325 zb_mac_transport_linux_pipes.c:569	timer 325, delta_rest 0
18:21:18.330 325 zb_mac_transport_linux_pipes.c:590	timeout
18:21:18.330 325 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
18:21:18.330 325 zb_scheduler.c:145	0x564fd561c728 calling alarm cb 0x564fd53f4f96 param 0
18:21:18.330 325 nwk_cr_mesh_routing.c:791	>> exp_pend
18:21:18.330 325 zb_scheduler.c:283	tm_freelist, get nent 0x564fd561c6e8
18:21:18.331 325 zb_scheduler.c:294	0x564fd561c6e8 scheduled alarm 0x564fd53f4f96, run_after 325, at 650, param 0
18:21:18.331 325 zb_scheduler.c:349	cur t 325, head t 452
18:21:18.331 325 nwk_cr_mesh_routing.c:821	<< exp_pend
18:21:18.331 325 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
18:21:18.331 325 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
18:21:18.331 325 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
18:21:18.331 325 zb_mac_transport_linux_pipes.c:507	timer started = 1
18:21:18.331 325 zb_mac_transport_linux_pipes.c:524	default timeout 1
18:21:18.331 325 zb_mac_transport_linux_pipes.c:529	select() timeout 1.0
