18:21:26.365 323 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
18:21:26.365 323 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
18:21:26.365 323 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
18:21:26.365 323 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
18:21:26.365 323 zb_mac_transport_linux_pipes.c:507	timer started = 1
18:21:26.365 323 zb_mac_transport_linux_pipes.c:513	timer stop 514 timer 323  tmo 191
18:21:26.365 323 zb_mac_transport_linux_pipes.c:529	select() timeout 2.922000
18:21:29.290 323 zb_mac_transport_linux_pipes.c:548	delta 2926 (191)
18:21:29.290 514 zb_mac_transport_linux_pipes.c:569	timer 514, delta_rest 0
18:21:29.290 514 zb_mac_transport_linux_pipes.c:590	timeout
18:21:29.290 514 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
18:21:29.290 514 zb_scheduler.c:145	0x55568237a708 calling alarm cb 0x55568216d081 param 0
18:21:29.290 514 mac_scan.c:208	>> zb_mlme_scan_step
18:21:29.290 514 mac_scan.c:312	beacon found 1
18:21:29.290 514 zb_scheduler.c:254	0x55568237a430 scheduled cb 0x5556821573f7 param 3 (in_b 0)
18:21:29.290 514 mac_scan.c:338	<< zb_mlme_scan_step
18:21:29.290 514 zb_time.c:99	stop async timer, started = 0
18:21:29.290 514 zb_scheduler.c:105	cb_q written 1, read_i 5, write_i 6
18:21:29.290 514 zb_scheduler.c:115	0x55568237a430 calling cb 0x5556821573f7 param 3 in_b 0 len 0
18:21:29.290 514 nwk_discovery.c:354	>>zb_mlme_scan_confirm 3
18:21:29.290 514 nwk_discovery.c:356	nwk state 1
18:21:29.290 514 nwk_discovery.c:372	disc_count 0
18:21:29.290 514 zb_address.c:155	>>zb_address_get_pan_id pan_id_reference 4 pan_id 0x55568237ab93
18:21:29.291 514 zb_address.c:161	<<zb_address_get_pan_id
18:21:29.291 514 zb_address.c:213	>>zb_address_cmp_pan_id_by_ref pan_id_reference 4 pan_id 0x55568237ab93
18:21:29.291 514 zb_address.c:219	<<zb_address_cmp_pan_id_by_ref 1
18:21:29.291 514 zb_scheduler.c:254	0x55568237a440 scheduled cb 0x555682161c47 param 3 (in_b 0)
18:21:29.291 514 nwk_discovery.c:495	<<zb_mlme_scan_confirm
18:21:29.291 514 zb_scheduler.c:105	cb_q written 1, read_i 6, write_i 7
18:21:29.291 514 zb_scheduler.c:115	0x55568237a440 calling cb 0x555682161c47 param 3 in_b 0 len 98
18:21:29.291 514 zdo_app.c:319	disc st 0
18:21:29.291 514 zdo_app.c:324	Disc res: st 0, nw_cnt 1
18:21:29.291 514 zdo_app.c:335	net 0: xpanid 8.0.0.0.0.0.0.0, ch 12, s.prof 1, zb v 2, beacon_ord 7, superf_ord 15, permit_j 1, rtr_cap 1, ed_cap 1
18:21:29.291 514 zb_scheduler.c:254	0x55568237a450 scheduled cb 0x555682159b82 param 3 (in_b 0)
18:21:29.291 514 zb_scheduler.c:105	cb_q written 1, read_i 7, write_i 8
18:21:29.291 514 zb_scheduler.c:115	0x55568237a450 calling cb 0x555682159b82 param 3 in_b 0 len 98
18:21:29.291 514 nwk_join.c:892	>>join_req 3
18:21:29.291 514 nwk_join.c:185	>>assoc_join buf 0x55568237ab70 req 0x55568237abfc
18:21:29.291 514 zb_address.c:170	>>zb_address_get_pan_id_ref pan_id 8.0.0.0.0.0.0.0 ref 0x7fff1b089d40
18:21:29.291 514 zb_address.c:173	start search pan_id reference from h_i 5
18:21:29.291 514 zb_address.c:180	pan_id reference found 4
18:21:29.291 514 zb_address.c:193	<<zb_address_get_pan_id_ref 0
18:21:29.291 514 nwk_join.c:82	>>nwk_choose_parent panid_ref 4 cap 80 nib_upd_id 0
18:21:29.291 514 nwk_join.c:116	ne 0x55568237b730 panid_ref 4, potential_par 1, permit_join 1, cap r/e 1/1, lqi 100, upd_id 0, NIB_uid 0
18:21:29.291 514 nwk_join.c:142	parent found
18:21:29.291 514 nwk_join.c:160	<<nwk_choose_parent 0x55568237b730
18:21:29.291 514 zb_address.c:200	>>zb_address_get_pan_id pan_id_reference 4 pan_id 0x7fff1b089d3e
18:21:29.291 514 zb_address.c:206	<<zb_address_get_pan_id
18:21:29.291 514 nwk_join.c:262	Will assoc to pan 8.0.0.0.0.0.0.0/33529, dev 0 0x55568237b730 ch 12
