10:22:24.835 257 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 11
10:22:24.835 257 zb_mac_transport_linux_pipes.c:225	<<zb_mac_put_data ret
10:22:24.835 257 mac_routines.c:272	<< zb_beacon_request_command ret 0
10:22:24.835 257 zb_scheduler.c:283	tm_freelist, get nent 0x561413aa2788
10:22:24.835 257 zb_scheduler.c:294	0x561413aa2788 scheduled alarm 0x561413891d65, run_after 257, at 514, param 0
10:22:24.835 257 zb_scheduler.c:349	cur t 257, head t 260
10:22:24.835 257 mac_scan.c:338	<< zb_mlme_scan_step
10:22:24.835 257 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
10:22:24.835 257 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
10:22:24.835 257 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
10:22:24.835 257 zb_mac_transport_linux_pipes.c:507	timer started = 1
10:22:24.835 257 zb_mac_transport_linux_pipes.c:524	default timeout 1
10:22:24.835 257 zb_mac_transport_linux_pipes.c:529	select() timeout 1.0
10:22:25.836 257 zb_mac_transport_linux_pipes.c:548	delta 1000 (65)
10:22:25.836 322 zb_mac_transport_linux_pipes.c:569	timer 322, delta_rest 0
10:22:25.836 322 zb_mac_transport_linux_pipes.c:590	timeout
10:22:25.836 322 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
10:22:25.836 322 zb_scheduler.c:145	0x561413aa2728 calling alarm cb 0x56141387ad76 param 0
10:22:25.836 322 nwk_cr_mesh_routing.c:736	>> exp_r_disc
10:22:25.836 322 zb_scheduler.c:283	tm_freelist, get nent 0x561413aa2748
10:22:25.836 322 zb_scheduler.c:294	0x561413aa2748 scheduled alarm 0x56141387ad76, run_after 130, at 452, param 0
10:22:25.836 322 zb_scheduler.c:349	cur t 322, head t 325
10:22:25.836 322 nwk_cr_mesh_routing.c:784	<< exp_r_disc
10:22:25.836 322 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
10:22:25.836 322 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
10:22:25.836 322 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
10:22:25.836 322 zb_mac_transport_linux_pipes.c:507	timer started = 1
10:22:25.836 322 zb_mac_transport_linux_pipes.c:513	timer stop 325 timer 322  tmo 3
10:22:25.836 322 zb_mac_transport_linux_pipes.c:529	select() timeout 0.45000
10:22:25.882 322 zb_mac_transport_linux_pipes.c:548	delta 46 (3)
10:22:25.882 325 zb_mac_transport_linux_pipes.c:569	timer 325, delta_rest 0
10:22:25.882 325 zb_mac_transport_linux_pipes.c:590	timeout
10:22:25.882 325 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
10:22:25.882 325 zb_scheduler.c:145	0x561413aa2768 calling alarm cb 0x56141387b0ad param 0
10:22:25.882 325 nwk_cr_mesh_routing.c:791	>> exp_pend
10:22:25.882 325 zb_scheduler.c:283	tm_freelist, get nent 0x561413aa2728
10:22:25.882 325 zb_scheduler.c:294	0x561413aa2728 scheduled alarm 0x56141387b0ad, run_after 325, at 650, param 0
10:22:25.882 325 zb_scheduler.c:349	cur t 325, head t 452
10:22:25.882 325 nwk_cr_mesh_routing.c:821	<< exp_pend
10:22:25.882 325 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
10:22:25.882 325 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
10:22:25.882 325 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
10:22:25.882 325 zb_mac_transport_linux_pipes.c:507	timer started = 1
10:22:25.882 325 zb_mac_transport_linux_pipes.c:524	default timeout 1
10:22:25.882 325 zb_mac_transport_linux_pipes.c:529	select() timeout 1.0
10:22:26.884 325 zb_mac_transport_linux_pipes.c:548	delta 1002 (65)
10:22:26.884 390 zb_mac_transport_linux_pipes.c:569	timer 390, delta_rest 0
10:22:26.884 390 zb_mac_transport_linux_pipes.c:590	timeout
10:22:26.884 390 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
10:22:26.884 390 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
10:22:26.884 390 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
10:22:26.884 390 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
10:22:26.884 390 zb_mac_transport_linux_pipes.c:507	timer started = 1
10:22:26.884 390 zb_mac_transport_linux_pipes.c:513	timer stop 452 timer 390  tmo 62
10:22:26.884 390 zb_mac_transport_linux_pipes.c:529	select() timeout 0.948000
10:22:27.833 390 zb_mac_transport_linux_pipes.c:548	delta 949 (62)
10:22:27.833 452 zb_mac_transport_linux_pipes.c:569	timer 452, delta_rest 0
10:22:27.833 452 zb_mac_transport_linux_pipes.c:590	timeout
10:22:27.833 452 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
10:22:27.833 452 zb_scheduler.c:145	0x561413aa2748 calling alarm cb 0x56141387ad76 param 0
10:22:27.833 452 nwk_cr_mesh_routing.c:736	>> exp_r_disc
10:22:27.833 452 zb_scheduler.c:283	tm_freelist, get nent 0x561413aa2768
10:22:27.833 452 zb_scheduler.c:294	0x561413aa2768 scheduled alarm 0x56141387ad76, run_after 130, at 582, param 0
10:22:27.833 452 zb_scheduler.c:349	cur t 452, head t 514
10:22:27.833 452 nwk_cr_mesh_routing.c:784	<< exp_r_disc
10:22:27.833 452 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
10:22:27.833 452 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
10:22:27.833 452 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
10:22:27.833 452 zb_mac_transport_linux_pipes.c:507	timer started = 1
10:22:27.833 452 zb_mac_transport_linux_pipes.c:524	default timeout 1
10:22:27.833 452 zb_mac_transport_linux_pipes.c:529	select() timeout 1.0
10:22:28.835 452 zb_mac_transport_linux_pipes.c:548	delta 1001 (65)
10:22:28.835 517 zb_mac_transport_linux_pipes.c:569	timer 517, delta_rest 0
10:22:28.835 517 zb_mac_transport_linux_pipes.c:590	timeout
10:22:28.835 517 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
10:22:28.835 517 zb_scheduler.c:145	0x561413aa2788 calling alarm cb 0x561413891d65 param 0
10:22:28.835 517 mac_scan.c:208	>> zb_mlme_scan_step
10:22:28.835 517 mac_scan.c:312	beacon found 0
10:22:28.835 517 zb_scheduler.c:254	0x561413aa24b0 scheduled cb 0x561413871ce2 param 3 (in_b 0)
10:22:28.835 517 mac_scan.c:338	<< zb_mlme_scan_step
10:22:28.835 517 zb_scheduler.c:105	cb_q written 1, read_i 7, write_i 8
10:22:28.835 517 zb_scheduler.c:115	0x561413aa24b0 calling cb 0x561413871ce2 param 3 in_b 0 len 0
10:22:28.835 517 nwk_discovery.c:354	>>zb_mlme_scan_confirm 3
10:22:28.835 517 nwk_discovery.c:356	nwk state 3
10:22:28.835 517 nwk_cr_formation.c:204	>>sel_ch buf 0x561413aa2bd0
10:22:28.835 517 nwk_cr_formation.c:235	cur ch 11 ch_nw 255 en_lev 255
10:22:28.835 517 nwk_cr_formation.c:237	i pan_cnt 11 en_lev 0
10:22:28.835 517 nwk_cr_formation.c:266	sel ch 11 # nw 0 en_lev 0
10:22:28.835 517 nwk_cr_formation.c:296	sel pan_id 65081
10:22:28.835 517 nwk_address_assign.c:71	>>zb_nwk_daa_calc_cskip depth 0
10:22:28.835 517 nwk_address_assign.c:92	<<zb_nwk_daa_calc_cskip 2721
10:22:28.835 517 nwk_cr_formation.c:382	ch 11
10:22:28.835 517 zb_scheduler.c:254	0x561413aa24c0 scheduled cb 0x56141386a702 param 3 (in_b 0)
10:22:28.835 517 nwk_cr_formation.c:311	<<sel_ch
10:22:28.835 517 nwk_discovery.c:495	<<zb_mlme_scan_confirm
10:22:28.835 517 zb_scheduler.c:105	cb_q written 1, read_i 8, write_i 9
10:22:28.835 517 zb_scheduler.c:115	0x561413aa24c0 calling cb 0x56141386a702 param 3 in_b 0 len 0
10:22:28.835 517 mac_routines.c:166	+zb_mlme_start_request 3
10:22:28.835 517 mac_routines.c:114	+zb_mac_process_mlme_start, state 0
10:22:28.835 517 mac_cr_coordinator.c:427	>>zb_mac_update_superframe_and_pib
10:22:28.835 517 mac_cr_coordinator.c:444	set pan id 0xfe39 channel 0xb
10:22:28.835 517 mac_cr_coordinator.c:449	<<zb_mac_update_superframe_and_pib
10:22:28.835 517 zb_scheduler.c:254	0x561413aa24d0 scheduled cb 0x56141387239a param 3 (in_b 0)
10:22:28.835 517 mac_routines.c:155	<< zb_mac_process_mlme_start
10:22:28.835 517 mac_routines.c:198	<< zb_mlme_start_request
10:22:28.835 517 zb_scheduler.c:105	cb_q written 1, read_i 9, write_i 10
10:22:28.835 517 zb_scheduler.c:115	0x561413aa24d0 calling cb 0x56141387239a param 3 in_b 0 len 0
10:22:28.835 517 nwk_formation.c:69	>>mlme_start_conf 3
10:22:28.835 517 nwk_formation.c:71	state 4
10:22:28.835 517 nwk_neighbor.c:167	>>exneighbor_stop
10:22:28.835 517 nwk_neighbor.c:298	restore base n size 32
10:22:28.835 517 nwk_neighbor.c:299	base_neighbor_used 0
10:22:28.835 517 nwk_neighbor.c:301	<<exneighbor_stop
10:22:28.835 517 nwk_cr_formation.c:410	>>update_beacon_pl
10:22:28.835 517 nwk_cr_formation.c:436	new update_id 0
